fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_start in Airport Bounds
3931920f,2025-02-20 08:00:00+00:00,D82046,B738,ARN,CDG,0.0,1.0,0.0,59.64684,17.92641,ADSB,,1.0598037638409203,NSZ,2025-02-20 08:30:00+00:00,D82046,B738,ARN,CDG,32600.0,460.0,1472.0,58.43033,16.24275,ADSB,2025-02-20 10:29:20+00:00,167.09060151387845,NSZ,166.0440832686597,425.96000000000004,1.0598037638409203,167.09060151387845,True
3931924a,2025-02-20 08:00:00+00:00,D83195,B38M,ARN,CPH,0.0,0.0,0.0,59.64694,17.92483,ADSB,,1.1172876507415979,NSZ,2025-02-20 08:30:00+00:00,D83195,B38M,ARN,CPH,36000.0,450.0,0.0,58.06114,15.278,ADSB,2025-02-20 08:59:44+00:00,234.02355187548582,NSZ,232.91444350952926,416.70000000000005,1.1172876507415979,234.02355187548582,True
393192bb,2025-02-20 08:00:00+00:00,SK482,A20N,ARN,,0.0,0.0,0.0,59.65279,17.93168,ADSB,,0.46472122610702926,SZS,2025-02-20 08:00:00+00:00,SK482,A20N,ARN,,0.0,0.0,0.0,59.65279,17.93168,ADSB,,0.46472122610702926,SZS,,,0.46472122610702926,0.46472122610702926,True
393193ef,,,,,,,,,,,,,,,2025-02-20 08:30:00+00:00,SK403,A20N,ARN,CPH,31175.0,441.0,1408.0,58.73625,16.31904,ADSB,2025-02-20 09:12:32+00:00,137.54989501980572,SAS,,408.36600000000004,,137.54989501980572,
39319406,,,,,,,,,,,,,,,2025-02-20 08:30:00+00:00,JON52,BE20,ARN,HFS,24000.0,224.0,-64.0,59.78764,16.42145,ADSB,2025-02-20 08:59:44+00:00,86.4232668822926,JON,,207.424,,86.4232668822926,
393194c6,,,,,,,,,,,,,,,2025-02-20 08:30:00+00:00,,PC24,ARN,LPI,21050.0,339.0,1472.0,59.21484,17.13977,ADSB,2025-02-20 08:51:27+00:00,66.52910526923102,SWE,,313.914,,66.52910526923102,
3931957a,,,,,,,,,,,,,,,2025-02-20 08:30:00+00:00,DY805,B738,ARN,OSL,31825.0,418.0,2496.0,59.66219,15.93567,ADSB,2025-02-20 09:04:00+00:00,112.57570446136562,NSZ,,387.06800000000004,,112.57570446136562,
393196ae,,,,,,,,,,,,,,,2025-02-20 08:30:00+00:00,HP752,F50,ARN,LYC,19900.0,213.0,0.0,60.73168,17.97869,MLAT,2025-02-20 10:16:32+00:00,119.90239079721083,APF,,197.238,,119.90239079721083,
3931997d,,,,,,,,,,,,,,,2025-02-20 08:30:00+00:00,HP662,F50,ARN,KRF,12700.0,224.0,0.0,60.07353,17.8058,MLAT,2025-02-20 09:12:32+00:00,47.29568286355363,APF,,207.424,,47.29568286355363,
39319f01,2025-02-20 08:30:00+00:00,,A20N,ARN,,0.0,0.0,0.0,59.65248,17.93021,ADSB,,0.552501972847117,SZS,2025-02-20 08:30:00+00:00,,A20N,ARN,,0.0,0.0,0.0,59.65248,17.93021,ADSB,,0.552501972847117,SZS,,,0.552501972847117,0.552501972847117,True
3931a062,2025-02-20 08:30:00+00:00,SK2677,A20N,ARN,BER,0.0,1.0,0.0,59.65292,17.93319,ADSB,,0.37867562041225045,SZS,2025-02-20 09:00:00+00:00,SK2677,A20N,ARN,BER,35975.0,446.0,0.0,57.89734,15.77344,ADSB,2025-02-20 09:57:20+00:00,231.7674081428443,SZS,231.5040403782097,412.99600000000004,0.37867562041225045,231.7674081428443,True
3931a06d,2025-02-20 08:30:00+00:00,DK628,A333,ARN,SID,0.0,2.0,0.0,59.65493,17.93795,ADSB,,0.18629628512648486,VKG,2025-02-20 09:00:00+00:00,DK628,A333,ARN,SID,25200.0,470.0,896.0,58.33333,15.63248,ADSB,2025-02-20 15:51:28+00:00,197.50791082791048,VKG,197.54916808221455,435.22,0.18629628512648486,197.50791082791048,True
3931a244,,,,,,,,,,,,,,,2025-02-20 09:00:00+00:00,SK6,A20N,ARN,LLA,35025.0,383.0,0.0,60.74963,18.37965,ADSB,2025-02-20 09:50:56+00:00,124.27805830032527,SAS,,354.658,,124.27805830032527,
3931a333,,,,,,,,,,,,,,,2025-02-20 09:30:00+00:00,SK1419,A20N,ARN,CPH,28950.0,467.0,1664.0,58.58798,16.12261,ADSB,2025-02-20 10:10:08+00:00,157.44850693996156,SZS,,432.442,,157.44850693996156,
3931a6d3,,,,,,,,,,,,,,,2025-02-20 09:00:00+00:00,KL1216,E295,ARN,AMS,10650.0,289.0,1984.0,59.49031,17.58182,ADSB,2025-02-20 10:40:00+00:00,27.127561274316236,KLC,,267.61400000000003,,27.127561274316236,
3931bf0b,,,,,,,,,,,,,,,2025-02-20 10:00:00+00:00,JU381,A319,ARN,BEG,35000.0,473.0,0.0,57.02551,17.72263,ADSB,2025-02-20 11:50:24+00:00,292.4985270168454,ASL,,437.99800000000005,,292.4985270168454,
