fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_end in Airport Bounds
393144a3,2025-02-20 05:30:00+00:00,AY801,A320,HEL,ARN,32650.0,430.0,2432.0,60.05626,22.19529,MLAT,2025-02-20 06:00:32+00:00,241.76809587314781,FIN,2025-02-20 06:00:00+00:00,AY801,A320,HEL,ARN,0.0,13.0,0.0,59.64332,17.92335,ADSB,,1.4658289668304436,FIN,242.91935977648708,12.038,241.76809587314781,1.4658289668304436,True
393147a9,2025-02-20 06:00:00+00:00,SK1011,A20N,SFT,ARN,2475.0,168.0,-896.0,59.69761,18.23295,ADSB,2025-02-20 06:02:05+00:00,17.170991938035193,SZS,,,,,,,,,,,,,,,,,17.170991938035193,,
393147f9,2025-02-20 06:00:00+00:00,BT101,BCS3,RIX,ARN,11425.0,330.0,-2560.0,59.62537,18.8399,ADSB,2025-02-20 06:14:31+00:00,50.68334335960212,BTI,,,,,,,,,,,,,,,,,50.68334335960212,,
393148b9,2025-02-20 06:00:00+00:00,SK1126,AT76,RNB,ARN,10300.0,256.0,-1472.0,59.18559,18.01379,ADSB,2025-02-20 06:10:13+00:00,52.20221438120341,BRX,,,,,,,,,,,,,,,,,52.20221438120341,,
393149ae,2025-02-20 05:30:00+00:00,HP281,F50,MHQ,ARN,200.0,110.0,0.0,59.66964,18.02419,MLAT,2025-02-20 05:30:40+00:00,5.065571129834678,APF,,,,,,,,,,,,,,,,,5.065571129834678,,
39314a27,2025-02-20 06:00:00+00:00,W61731,A321,GDN,ARN,34025.0,374.0,0.0,57.82921,17.69506,MLAT,2025-02-20 06:26:08+00:00,203.34739556209826,WZZ,2025-02-20 06:30:00+00:00,W61731,A321,GDN,ARN,0.0,23.0,0.0,59.65588,17.93747,ADSB,,0.2911731512023276,WZZ,203.59704010404903,21.298000000000002,203.34739556209826,0.2911731512023276,True
39314e0a,2025-02-20 06:00:00+00:00,SK140,A20N,GOT,ARN,26275.0,396.0,-2624.0,59.49595,16.42163,ADSB,2025-02-20 06:28:29+00:00,87.2654982693299,SZS,,,,,,,,,,,,,,,,,87.2654982693299,,
39314fb8,2025-02-20 06:30:00+00:00,SK2178,AT76,AGH,ARN,8000.0,254.0,0.0,59.32347,18.04852,ADSB,2025-02-20 06:36:48+00:00,37.21217356867196,BRX,,,,,,,,,,,,,,,,,37.21217356867196,,
39314ff1,2025-02-20 06:00:00+00:00,SK75,A20N,OSD,ARN,24725.0,414.0,-1984.0,60.84384,17.70371,ADSB,2025-02-20 06:25:47+00:00,132.99418219025958,SZS,,,,,,,,,,,,,,,,,132.99418219025958,,
39315028,2025-02-20 06:00:00+00:00,HP301,F50,OER,ARN,17700.0,340.0,0.0,60.57898,18.4567,MLAT,2025-02-20 06:21:52+00:00,106.81303741151441,APF,,,,,,,,,,,,,,,,,106.81303741151441,,
